Date,CPI_FoodAndBeverages
2012-01-01,1.516793066089
2012-02-01,5.48712206047
2012-03-01,7.674943566591
2012-04-01,9.561304836895
2012-05-01,9.944134078212
2012-06-01,10.60773480663
2012-07-01,11.437908496732
2012-08-01,11.625403659849
2012-09-01,10.615711252654
2012-10-01,9.758656873033
2012-11-01,10.515247108307
2012-12-01,12.179487179487
2014-01-01,9.659090909091
2014-02-01,8.161350844278
2014-03-01,8.606173994387
2014-04-01,9.192200557103
2014-05-01,8.882783882784
2014-06-01,7.308377896613
2014-07-01,8.71839581517
2014-08-01,8.576329331046
2014-09-01,6.339814032122
2014-10-01,4.32612312812
2014-11-01,2.039151712887
2014-12-01,4.391891891892
2015-01-01,6.303972366149
2015-02-01,6.764960971379
2015-03-01,6.287683031869
2015-04-01,5.442176870748
2015-05-01,5.130361648444
2015-06-01,5.730897009967
2015-07-01,2.8067361668
2015-08-01,2.922590837283
2015-09-01,4.29252782194
2015-10-01,5.342902711324
2015-11-01,6.07513988809
2015-12-01,6.31067961165
2016-01-01,6.661251015435
2016-02-01,5.523964256702
2016-03-01,5.186385737439
2016-04-01,6.290322580645
2016-05-01,7.2
2016-06-01,7.462686567164
2016-07-01,7.95631825273
2016-08-01,5.832693783576
2016-09-01,4.115853658537
2016-10-01,3.709311127933
2016-11-01,2.562170308968
2016-12-01,1.978691019787
2017-01-01,1.370906321401
2017-02-01,2.386451116243
2017-03-01,2.542372881356
2017-04-01,1.289833
2017-05-01,-0.223881
2017-06-01,-1.169591
2017-07-01,0.433526
2017-08-01,1.957941
2017-09-01,1.756955
2017-10-01,2.262774
2017-11-01,4.408523
2017-12-01,4.850746
2018-04-01,2.996255
2018-05-01,3.29095
2018-06-01,3.106509
2018-07-01,1.726619
2018-08-01,0.782361
2018-09-01,1.007194
2018-10-01,-0.142755
2018-11-01,-1.688951
2018-12-01,-1.637011
2019-01-01,-1.293103
2019-02-01,-0.072674
2019-03-01,0.655977
2019-04-01,1.381818
2019-05-01,2.027516
2019-06-01,2.367288
2019-07-01,2.333805
2019-08-01,2.964008
2019-09-01,4.700855
2019-10-01,6.933524
2019-11-01,8.732999
2019-12-01,12.156295
2020-01-01,11.717613
2020-02-01,9.454545
2020-03-01,7.82042
2020-04-01,10.473458
2020-05-01,8.374734
2020-06-01,7.918711
2020-07-01,8.500346
2020-08-01,8.293352
2020-09-01,9.795918
2020-10-01,10.093583
2020-11-01,8.887426
2020-12-01,3.870968
2021-01-01,2.67101
2021-02-01,4.252492
2021-03-01,5.238415
2021-04-01,2.597403
2021-05-01,5.239031
2021-06-01,5.584416
2021-07-01,4.458599
2021-08-01,3.734177
2021-09-01,1.610905
2021-10-01,1.821494
2021-11-01,2.599758
2021-12-01,4.47205
2022-01-01,5.583756
2022-02-01,5.927342
2022-03-01,7.466496
2022-04-01,8.101266
2022-05-01,7.840697
2022-06-01,7.564576
2022-07-01,6.707317
2022-08-01,7.565589
2022-09-01,8.414634
2022-10-01,7.096005
2022-11-01,5.067767
2022-12-01,4.577883
2023-01-01,6.189904
2023-02-01,6.257521
2023-03-01,5.106888
2023-04-01,4.156909
2023-05-01,3.3468
2023-06-01,4.688393
2023-07-01,10.571429
2023-08-01,9.188883
2023-09-01,6.299213
2023-10-01,6.291759
2023-11-01,8.020191
2023-12-01,8.698124
2024-01-01,7.583475
2024-02-01,7.757644
2024-03-01,7.740113
2024-04-01,7.8696
2024-05-01,7.8727
2024-06-01,8.3561
2024-07-01,5.0646
2024-08-01,5.2987
2024-09-01,8.3598
2024-10-01,9.6909
2024-11-01,8.2035
2024-12-01,7.6883
2025-01-01,5.6812
2025-02-01,3.836
2025-03-01,2.8841
